idx,State,LGA,Postcode
4090,Victoria,Cardinia,3977
4091,Victoria,Cardinia,3978
4092,Victoria,Cardinia,3980
4093,Victoria,Cardinia,3981
4094,Victoria,Cardinia,3984
4095,Victoria,Cardinia,3987
4096,Victoria,Cardinia,3988
4097,Victoria,Casey,3156
4098,Victoria,Casey,3175
4099,Victoria,Casey,3177
4100,Victoria,Casey,3178
4101,Victoria,Casey,3802
4102,Victoria,Casey,3803
4103,Victoria,Casey,3804
4104,Victoria,Casey,3805
4105,Victoria,Casey,3806
4106,Victoria,Casey,3807
4107,Victoria,Casey,3808
4108,Victoria,Casey,3809
4109,Victoria,Casey,3910
4110,Victoria,Casey,3911
4111,Victoria,Casey,3912
4112,Victoria,Casey,3975
4113,Victoria,Casey,3976
4114,Victoria,Casey,3977
4115,Victoria,Casey,3978
4116,Victoria,Casey,3980
4117,Victoria,Casey,3981
4118,Victoria,Central Goldfields,3352
4119,Victoria,Central Goldfields,3364
4120,Victoria,Central Goldfields,3370
4121,Victoria,Central Goldfields,3371
4122,Victoria,Central Goldfields,3462
4123,Victoria,Central Goldfields,3463
4124,Victoria,Central Goldfields,3464
4125,Victoria,Central Goldfields,3465
4126,Victoria,Central Goldfields,3467
4127,Victoria,Central Goldfields,3472
4128,Victoria,Central Goldfields,3475
4129,Victoria,Central Goldfields,3477
4130,Victoria,Central Goldfields,3478
4131,Victoria,Central Goldfields,3518
4132,Victoria,Colac-Otway,3221
4133,Victoria,Colac-Otway,3231
4134,Victoria,Colac-Otway,3233
4135,Victoria,Colac-Otway,3235
4136,Victoria,Colac-Otway,3236
4137,Victoria,Colac-Otway,3237
4138,Victoria,Colac-Otway,3238
4139,Victoria,Colac-Otway,3239
4140,Victoria,Colac-Otway,3241
4141,Victoria,Colac-Otway,3242
4142,Victoria,Colac-Otway,3243
4143,Victoria,Colac-Otway,3249
4144,Victoria,Colac-Otway,3250
4145,Victoria,Colac-Otway,3251
4146,Victoria,Colac-Otway,3254
4147,Victoria,Colac-Otway,3260
4148,Victoria,Colac-Otway,3266
4149,Victoria,Colac-Otway,3269
4150,Victoria,Colac-Otway,3321
4151,Victoria,Colac-Otway,3324
4152,Victoria,Colac-Otway,3330
4153,Victoria,Corangamite,3237
4154,Victoria,Corangamite,3249
4155,Victoria,Corangamite,3251
4156,Victoria,Corangamite,3260
4157,Victoria,Corangamite,3264
4158,Victoria,Corangamite,3265
4159,Victoria,Corangamite,3266
