,suburb,median_price,p_type
96,Chirnside Park,610000,unit
90,Christmas Hills,711625,house
91,Christmas Hills,557750,unit
157,Chum Creek,575000,house
158,Churchill,185000,house
159,Clarinda,815000,house
97,Clarinda,670000,unit
160,Clayton,1100500,house
98,Clayton,681000,unit
161,Clayton North,1405000,house
99,Clayton North,607000,unit
162,Clayton South,832000,house
100,Clayton South,507500,unit
92,Clematis,632000,house
93,Clematis,498375,unit
163,Clifton Hill,1352500,house
101,Clifton Hill,607500,unit
164,Clifton Springs,485000,house
165,Clunes,330000,house
166,Clyde,549000,house
167,Clyde North,584500,house
102,Clyde North,518500,unit
94,Coatesville,1009000,house
95,Coatesville,635000,unit
168,Cobblebank,480500,house
169,Cobden,237000,house
170,Cobram,272500,house
103,Cobram,215000,unit
171,Coburg,931000,house
104,Coburg,542500,unit
172,Coburg East,823500,house
105,Coburg East,623000,unit
173,Coburg North,812500,house
106,Coburg North,572000,unit
174,Cockatoo,580000,house
96,Cocoroc,635000,house
97,Cocoroc,460000,unit
175,Cohuna,205000,house
176,Colac,315000,house
107,Colac,310000,unit
177,Coldstream,635000,house
178,Coleraine,136000,house
179,Collingwood,1050000,house
108,Collingwood,591000,unit
98,Collingwood North,1326000,house
99,Collingwood North,590750,unit
180,Connewarre,1345000,house
181,Coolaroo,441000,house
182,Coonans Hill,902500,house
183,Coongulla,335000,house
100,Cora Lynn,592250,house
101,Cora Lynn,428750,unit
184,Corinella,357500,house
185,Corio,354000,house
109,Corio,310000,unit
186,Coronet Bay,365000,house
187,Corryong,236000,house
102,Cotham,1532500,house
103,Cotham,661250,unit
104,Cottles Bridge,594750,house
105,Cottles Bridge,425000,unit
188,Cowes,560000,house
110,Cowes,350000,unit
189,Cowes West,508500,house
111,Cowes West,439000,unit
190,Craigieburn,530000,house
112,Craigieburn,380000,unit
191,Cranbourne,500000,house
113,Cranbourne,362500,unit
192,Cranbourne East,565000,house
114,Cranbourne East,427500,unit
193,Cranbourne North,570000,house
115,Cranbourne North,425000,unit
106,Cranbourne South,602500,house
107,Cranbourne South,430500,unit
194,Cranbourne West,520000,house
116,Cranbourne West,385000,unit
195,Cremorne,1267000,house
117,Cremorne,870000,unit
196,Creswick,345000,house
118,Creswick,307500,unit
197,Crib Point,527500,house
119,Crib Point,405000,unit
108,Cromer,1228250,house
109,Cromer,637125,unit
198,Croydon,732500,house
120,Croydon,567000,unit
199,Croydon Hills,835000,house
