,suburb
105,La Trobe University
106,Laburnum
107,Lalor Plaza
108,Langwarrin South
109,Laverton North
110,Laverton Raaf
111,Little River
112,Lysterfield South
113,Macclesfield
114,Macleod West
115,Main Ridge
116,Malvern North
117,Mambourin
118,Maryknoll
119,McCrae
120,McKinnon
121,Mcmahons Creek
122,Melbourne Airport
123,Melbourne University
124,Mentone East
125,Menzies Creek
126,Merlynston
127,Merricks
128,Merricks Beach
129,Merricks North
130,Middle Camberwell
131,Mitcham North
132,Monash University
133,Moonee Vale
134,Moorabbin Airport
135,Moorooduc
136,Morang South
137,Moreland
138,Moreland West
139,Mount Burnett
140,Mount Cottrell
141,Mountain Gate
142,Nangana
143,Nar Nar Goon
144,Nar Nar Goon North
145,Narre Warren East
146,Noble Park East
147,North Road
148,North Warrandyte
149,Northcote South
150,Northland Centre
151,Nutfield
152,Oaklands Junction
153,Pakenham South
154,Pakenham Upper
155,Panton Hill
156,Patterson
157,Pines Forest
158,Pinewood
159,Plumpton
160,Point Leo
161,Powelltown
162,Prahran East
163,Preston Lower
164,Preston South
165,Preston West
166,Quandong
167,Rangeview
168,Ravenhall
169,Red Hill South
170,Reefton
171,Reservoir East
172,Reservoir North
173,Reservoir South
174,Richmond East
175,Richmond North
176,Richmond South
177,Robinson
178,Rosebud Plaza
179,Rythdale
180,Saint Helena
181,Sandown Village
182,Sassafras Gully
183,Seddon West
184,Seville East
185,Sherbrooke
186,Shoreham
187,Silvan
188,Smiths Gully
189,Somerton
190,Southland Centre
191,Steels Creek
192,Strathewen
193,Strathmore Heights
194,Surrey Hills North
195,Surrey Hills South
196,Tarrawarra
197,The Pines
198,Three Bridges
199,Tonimbuk
200,Tottenham
201,Tremont
202,Tuerong
203,Tynong
204,Tynong North
205,University Of Melbourne
206,Vervale
207,Wandin East
208,Warrandyte South
209,Watergardens
210,Watsons Creek
211,Wattle Park
212,Waverley Gardens
213,Wesburn
214,Wildwood
215,Wishart
216,Woodstock
217,World Trade Centre
218,Yan Yean
219,Yarrambat
220,Yarraville West
221,Yellingbo
222,Yering
223,Yuroke
