,suburb,median_price,p_type,const,LGA
135,Doncaster East,796000.0,unit,1.0,
602,Doncaster Heights,,unit,,Manningham
604,Doncaster Heights,,unit,,Whitehorse
544,Donnybrook,,unit,,Hume
547,Donnybrook,,unit,,Macedon Ranges
550,Donnybrook,,unit,,Mitchell
553,Donnybrook,,unit,,Whittlesea
136,Donvale,756000.0,unit,1.0,
137,Doreen,430000.0,unit,1.0,
138,Doveton,400000.0,unit,1.0,
139,Dromana,585000.0,unit,1.0,
436,Dunearn,,unit,,Casey
440,Dunearn,,unit,,Frankston
444,Dunearn,,unit,,Greater Dandenong
448,Dunearn,,unit,,Kingston
452,Dunearn,,unit,,Knox
456,Dunearn,,unit,,Monash
143,Eaglemont,785000.0,unit,1.0,
146,East Melbourne,595000.0,unit,1.0,
77,East Warburton,,unit,,Baw Baw
84,East Warburton,,unit,,Mansfield
91,East Warburton,,unit,,Murrindindi
98,East Warburton,,unit,,Yarra Ranges
148,Edithvale,694000.0,unit,1.0,
149,Elsternwick,600000.0,unit,1.0,
150,Eltham,650000.0,unit,1.0,
51,Eltham North,,unit,,Banyule
52,Eltham North,,unit,,Manningham
53,Eltham North,,unit,,Nillumbik
151,Elwood,672500.0,unit,1.0,
358,Emerald,,unit,,Cardinia
362,Emerald,,unit,,Yarra Ranges
152,Endeavour Hills,497500.0,unit,1.0,
153,Epping,400000.0,unit,1.0,
155,Essendon,520000.0,unit,1.0,
781,Essendon Fields,,unit,,Moonee Valley
156,Essendon North,425000.0,unit,1.0,
652,Essendon West,,unit,,Maribyrnong
653,Essendon West,,unit,,Moonee Valley
654,Essendon West,,unit,,Moreland
157,Eumemmerring,430000.0,unit,1.0,
696,Exford,,unit,,Melton
698,Exford,,unit,,Moorabool
700,Exford,,unit,,Wyndham
697,Eynesbury,,unit,,Melton
699,Eynesbury,,unit,,Moorabool
701,Eynesbury,,unit,,Wyndham
159,Fairfield,526500.0,unit,1.0,
160,Fawkner,477500.0,unit,1.0,
476,Fawkner East,,unit,,Darebin
478,Fawkner East,,unit,,Hume
480,Fawkner East,,unit,,Moreland
477,Fawkner North,,unit,,Darebin
479,Fawkner North,,unit,,Hume
481,Fawkner North,,unit,,Moreland
161,Ferntree Gully,537500.0,unit,1.0,
588,Ferny Creek,,unit,,Knox
589,Ferny Creek,,unit,,Yarra Ranges
730,Fingal,,unit,,Mornington Peninsula
163,Fitzroy,755500.0,unit,1.0,
164,Fitzroy North,640000.0,unit,1.0,
165,Flemington,407500.0,unit,1.0,
723,Flinders,,unit,,Mornington Peninsula
167,Footscray,410000.0,unit,1.0,
168,Forest Hill,727500.0,unit,1.0,
457,Fountain Gate,,unit,,Casey
170,Frankston,414500.0,unit,1.0,
487,Frankston East,,unit,,Frankston
491,Frankston East,,unit,,Mornington Peninsula
488,Frankston Heights,,unit,,Frankston
492,Frankston Heights,,unit,,Mornington Peninsula
171,Frankston North,400000.0,unit,1.0,
172,Frankston South,615000.0,unit,1.0,
534,Garden City,,unit,,Hobsons Bay
535,Garden City,,unit,,Melbourne
536,Garden City,,unit,,Port Phillip
173,Gardenvale,641500.0,unit,1.0,
396,Garfield,,unit,,Cardinia
397,Garfield North,,unit,,Cardinia
61,Gembrook,,unit,,Baw Baw
62,Gembrook,,unit,,Cardinia
63,Gembrook,,unit,,Yarra Ranges
64,Gilderoy,,unit,,Baw Baw
68,Gilderoy,,unit,,Cardinia
72,Gilderoy,,unit,,Yarra Ranges
298,Gladstone Park,,unit,,Brimbank
300,Gladstone Park,,unit,,Hume
302,Gladstone Park,,unit,,Moonee Valley
304,Gladstone Park,,unit,,Moreland
65,Gladysdale,,unit,,Baw Baw
69,Gladysdale,,unit,,Cardinia
73,Gladysdale,,unit,,Yarra Ranges
177,Glen Huntly,524000.0,unit,1.0,
178,Glen Iris,630000.0,unit,1.0,
179,Glen Waverley,847500.0,unit,1.0,
234,Glengala,,unit,,Brimbank
235,Glengala,,unit,,Maribyrnong
236,Glengala,,unit,,Moonee Valley
237,Glengala,,unit,,Wyndham
180,Glenroy,529000.0,unit,1.0,
299,Gowanbrae,,unit,,Brimbank
301,Gowanbrae,,unit,,Hume
303,Gowanbrae,,unit,,Moonee Valley
305,Gowanbrae,,unit,,Moreland
183,Greensborough,633000.0,unit,1.0,
184,Greenvale,561500.0,unit,1.0,
57,Greythorn,,unit,,Banyule
58,Greythorn,,unit,,Boroondara
59,Greythorn,,unit,,Manningham
60,Greythorn,,unit,,Whitehorse
763,Gruyere,,unit,,Nillumbik
766,Gruyere,,unit,,Yarra Ranges
377,Guys Hill,,unit,,Cardinia
378,Guys Hill,,unit,,Casey
186,Hadfield,502500.0,unit,1.0,
187,Hallam,415000.0,unit,1.0,
190,Hampton,775000.0,unit,1.0,
191,Hampton East,597000.0,unit,1.0,
126,Hampton North,,unit,,Bayside
127,Hampton North,,unit,,Kingston
192,Hampton Park,400000.0,unit,1.0,
374,Harkaway,,unit,,Cardinia
375,Harkaway,,unit,,Casey
376,Harkaway,,unit,,Yarra Ranges
182,Hartwell,,unit,,Boroondara
187,Hartwell,,unit,,Whitehorse
194,Hastings,390000.0,unit,1.0,
201,Hawksburn,,unit,,Boroondara
202,Hawksburn,,unit,,Stonnington
203,Hawksburn,,unit,,Yarra
195,Hawthorn,540000.0,unit,1.0,
196,Hawthorn East,616500.0,unit,1.0,
169,Hawthorn North,,unit,,Boroondara
172,Hawthorn North,,unit,,Stonnington
175,Hawthorn North,,unit,,Yarra
170,Hawthorn West,,unit,,Boroondara
173,Hawthorn West,,unit,,Stonnington
176,Hawthorn West,,unit,,Yarra
564,Heatherton,,unit,,Kingston
198,Heathmont,638000.0,unit,1.0,
199,Heidelberg,657500.0,unit,1.0,
200,Heidelberg Heights,626000.0,unit,1.0,
201,Heidelberg West,578500.0,unit,1.0,
203,Highett,665000.0,unit,1.0,
648,Highpoint City,,unit,,Maribyrnong
649,Highpoint City,,unit,,Melbourne
650,Highpoint City,,unit,,Moonee Valley
651,Highpoint City,,unit,,Moreland
285,Hillside,,unit,,Brimbank
287,Hillside,,unit,,Hume
289,Hillside,,unit,,Melton
320,Hoddles Creek,,unit,,Cardinia
330,Hoddles Creek,,unit,,Yarra Ranges
703,Holmesglen,,unit,,Monash
705,Holmesglen,,unit,,Stonnington
110,Hopetoun Gardens,,unit,,Bayside
111,Hopetoun Gardens,,unit,,Glen Eira
206,Hoppers Crossing,400000.0,unit,1.0,
769,Houston,,unit,,Whitehorse
208,Hughesdale,622000.0,unit,1.0,
209,Huntingdale,661000.0,unit,1.0,
738,Hurstbridge,,unit,,Murrindindi
743,Hurstbridge,,unit,,Nillumbik
748,Hurstbridge,,unit,,Whittlesea
105,Iona,,unit,,Baw Baw
108,Iona,,unit,,Cardinia
212,Ivanhoe,632500.0,unit,1.0,
213,Ivanhoe East,597000.0,unit,1.0,
28,Ivanhoe North,,unit,,Banyule
29,Ivanhoe North,,unit,,Boroondara
30,Ivanhoe North,,unit,,Darebin
31,Ivanhoe North,,unit,,Manningham
32,Ivanhoe North,,unit,,Yarra
214,Jacana,410000.0,unit,1.0,
216,Junction Village,285000.0,unit,1.0,
545,Kalkallo,,unit,,Hume
548,Kalkallo,,unit,,Macedon Ranges
551,Kalkallo,,unit,,Mitchell
554,Kalkallo,,unit,,Whittlesea
364,Kallista,,unit,,Cardinia
365,Kallista,,unit,,Yarra Ranges
772,Kalorama,,unit,,Yarra Ranges
597,Kangaroo Ground,,unit,,Manningham
600,Kangaroo Ground,,unit,,Nillumbik
489,Karingal,,unit,,Frankston
493,Karingal,,unit,,Mornington Peninsula
490,Karingal Centre,,unit,,Frankston
494,Karingal Centre,,unit,,Mornington Peninsula
239,Kealba,,unit,,Brimbank
242,Kealba,,unit,,Melton
281,Keilor,,unit,,Brimbank
283,Keilor,,unit,,Hume
218,Keilor Downs,466000.0,unit,1.0,
219,Keilor East,642000.0,unit,1.0,
291,Keilor Lodge,,unit,,Brimbank
282,Keilor North,,unit,,Brimbank
284,Keilor North,,unit,,Hume
294,Keilor Park,,unit,,Brimbank
295,Keilor Park,,unit,,Hume
296,Keilor Park,,unit,,Moonee Valley
297,Keilor Park,,unit,,Moreland
221,Kensington,518500.0,unit,1.0,
12,Keon Park,,unit,,Banyule
16,Keon Park,,unit,,Darebin
20,Keon Park,,unit,,Moreland
24,Keon Park,,unit,,Whittlesea
198,Kerrimuir,,unit,,Boroondara
199,Kerrimuir,,unit,,Manningham
200,Kerrimuir,,unit,,Whitehorse
222,Kew,804000.0,unit,1.0,
54,Kew East,,unit,,Banyule
55,Kew East,,unit,,Boroondara
56,Kew East,,unit,,Yarra
224,Keysborough,590500.0,unit,1.0,
226,Kilsyth,568000.0,unit,1.0,
575,Kilsyth South,,unit,,Knox
576,Kilsyth South,,unit,,Maroondah
577,Kilsyth South,,unit,,Yarra Ranges
240,Kings Park,,unit,,Brimbank
243,Kings Park,,unit,,Melton
227,Kingsbury,547500.0,unit,1.0,
228,Kingsville,408000.0,unit,1.0,
218,Kingsville West,,unit,,Brimbank
220,Kingsville West,,unit,,Hobsons Bay
222,Kingsville West,,unit,,Maribyrnong
224,Kingsville West,,unit,,Moonee Valley
226,Kingsville West,,unit,,Wyndham
578,Knox City Centre,,unit,,Knox
579,Knox City Centre,,unit,,Maroondah
580,Knox City Centre,,unit,,Monash
581,Knox City Centre,,unit,,Whitehorse
229,Knoxfield,625000.0,unit,1.0,
231,Kooyong,735000.0,unit,1.0,
496,Kunyung,,unit,,Frankston
497,Kunyung,,unit,,Mornington Peninsula
35,La Trobe University,,unit,,Banyule
36,La Trobe University,,unit,,Darebin
37,La Trobe University,,unit,,Nillumbik
38,La Trobe University,,unit,,Whittlesea
616,Laburnum,,unit,,Manningham
617,Laburnum,,unit,,Whitehorse
238,Lalor,442000.0,unit,1.0,
556,Lalor Plaza,,unit,,Hume
557,Lalor Plaza,,unit,,Whittlesea
239,Langwarrin,450500.0,unit,1.0,
460,Langwarrin South,,unit,,Casey
462,Langwarrin South,,unit,,Frankston
464,Langwarrin South,,unit,,Mornington Peninsula
321,Launching Place,,unit,,Cardinia
331,Launching Place,,unit,,Yarra Ranges
242,Laverton,505000.0,unit,1.0,
263,Laverton North,,unit,,Brimbank
264,Laverton North,,unit,,Hobsons Bay
265,Laverton North,,unit,,Wyndham
530,Laverton Raaf,,unit,,Hobsons Bay
531,Laverton Raaf,,unit,,Wyndham
246,Lilydale,500000.0,unit,1.0,
521,Little River,,unit,,Greater Geelong
522,Little River,,unit,,Wyndham
250,Lower Plenty,545000.0,unit,1.0,
251,Lynbrook,535000.0,unit,1.0,
468,Lyndhurst,,unit,,Casey
469,Lyndhurst,,unit,,Greater Dandenong
421,Lysterfield,,unit,,Casey
425,Lysterfield,,unit,,Knox
429,Lysterfield,,unit,,Yarra Ranges
422,Lysterfield South,,unit,,Casey
426,Lysterfield South,,unit,,Knox
430,Lysterfield South,,unit,,Yarra Ranges
359,Macclesfield,,unit,,Cardinia
363,Macclesfield,,unit,,Yarra Ranges
252,Macleod,655000.0,unit,1.0,
41,Macleod West,,unit,,Banyule
43,Macleod West,,unit,,Darebin
255,Maidstone,575000.0,unit,1.0,
722,Main Ridge,,unit,,Mornington Peninsula
256,Malvern,720000.0,unit,1.0,
257,Malvern East,633500.0,unit,1.0,
205,Malvern North,,unit,,Boroondara
207,Malvern North,,unit,,Glen Eira
209,Malvern North,,unit,,Stonnington
253,Mambourin,,unit,,Brimbank
255,Mambourin,,unit,,Greater Geelong
257,Mambourin,,unit,,Melton
259,Mambourin,,unit,,Moorabool
261,Mambourin,,unit,,Wyndham
782,Manor Lakes,,unit,,Wyndham
260,Maribyrnong,510000.0,unit,1.0,
390,Maryknoll,,unit,,Cardinia
783,McCrae,,unit,,Mornington Peninsula
262,Mccrae,700000.0,unit,1.0,
263,McKinnon,785000.0,unit,1.0,
264,Meadow Heights,376500.0,unit,1.0,
265,Melbourne,474000.0,unit,1.0,
306,Melbourne Airport,,unit,,Brimbank
307,Melbourne Airport,,unit,,Hume
664,Melbourne University,,unit,,Melbourne
665,Melbourne University,,unit,,Moonee Valley
666,Melbourne University,,unit,,Moreland
267,Melton South,299500.0,unit,1.0,
269,Mentone,600000.0,unit,1.0,
137,Mentone East,,unit,,Bayside
139,Mentone East,,unit,,Kingston
338,Menzies Creek,,unit,,Cardinia
340,Menzies Creek,,unit,,Yarra Ranges
471,Merlynston,,unit,,Darebin
474,Merlynston,,unit,,Moreland
270,Mernda,385500.0,unit,1.0,
714,Merricks,,unit,,Mornington Peninsula
719,Merricks Beach,,unit,,Mornington Peninsula
720,Merricks North,,unit,,Mornington Peninsula
546,Mickleham,,unit,,Hume
549,Mickleham,,unit,,Macedon Ranges
552,Mickleham,,unit,,Mitchell
555,Mickleham,,unit,,Whittlesea
183,Middle Camberwell,,unit,,Boroondara
188,Middle Camberwell,,unit,,Whitehorse
272,Middle Park,735000.0,unit,1.0,
274,Mill Park,444500.0,unit,1.0,
79,Millgrove,,unit,,Baw Baw
86,Millgrove,,unit,,Mansfield
93,Millgrove,,unit,,Murrindindi
100,Millgrove,,unit,,Yarra Ranges
275,Mitcham,696000.0,unit,1.0,
620,Mitcham North,,unit,,Manningham
622,Mitcham North,,unit,,Maroondah
624,Mitcham North,,unit,,Whitehorse
710,Monash University,,unit,,Monash
776,Monbulk,,unit,,Yarra Ranges
277,Mont Albert,708500.0,unit,1.0,
278,Mont Albert North,887000.0,unit,1.0,
279,Montmorency,685000.0,unit,1.0,
771,Montrose,,unit,,Yarra Ranges
280,Moonee Ponds,483500.0,unit,1.0,
673,Moonee Vale,,unit,,Melbourne
676,Moonee Vale,,unit,,Moonee Valley
679,Moonee Vale,,unit,,Moreland
281,Moorabbin,683000.0,unit,1.0,
138,Moorabbin Airport,,unit,,Bayside
140,Moorabbin Airport,,unit,,Kingston
724,Moorooduc,,unit,,Mornington Peninsula
282,Mooroolbark,568500.0,unit,1.0,
756,Morang South,,unit,,Nillumbik
757,Morang South,,unit,,Whittlesea
284,Mordialloc,615000.0,unit,1.0,
472,Moreland,,unit,,Darebin
475,Moreland,,unit,,Moreland
674,Moreland West,,unit,,Melbourne
677,Moreland West,,unit,,Moonee Valley
680,Moreland West,,unit,,Moreland
285,Mornington,643000.0,unit,1.0,
351,Mount Burnett,,unit,,Cardinia
354,Mount Burnett,,unit,,Yarra Ranges
254,Mount Cottrell,,unit,,Brimbank
