,suburb,Count,price,yield,cagr,ptype,total_income
169,Bairnsdale,150.4375,212000,0.053471698113207546,0.009811668825167263,U,0.0632833669383748
170,Benalla,141.375,180000,0.05431111111111111,0.02885985245649536,U,0.08317096356760648
171,Castlemaine,54.375,260000,0.052,0.06299554484078906,U,0.11499554484078905
172,Echuca,192.125,246000,0.048617886178861786,0.015345924664798671,U,0.06396381084366046
173,Hamilton,85.1875,200000,0.0546,-0.00815527974156205,U,0.04644472025843795
174,Horsham,279.125,185000,0.05340540540540541,0.03139498507129068,U,0.08480039047669609
175,Mildura,474.875,164500,0.05848024316109422,0.03564067300286866,U,0.09412091616396288
176,Moe,83.375,170000,0.04527058823529412,0.023669560426899938,U,0.06894014866219406
178,Morwell,212.0625,145000,0.057379310344827586,0.03126134916223555,U,0.08864065950706314
179,Ocean Grove,58.0,410000,0.03614634146341463,0.06105921116857571,U,0.09720555263199035
180,Barwon Heads,58.0,625000,0.023712,0.09675003296224571,U,0.12046203296224571
181,Portland,114.1875,225000,0.0416,0.031476745723852506,U,0.0730767457238525
182,Sale,135.9375,205000,0.05580487804878049,0.013857271921238645,U,0.06966214997001913
183,Maffra,135.9375,201000,0.05691542288557214,0.0131798340751621,U,0.07009525696073424
184,Seymour,65.25,175000,0.05467428571428572,0.026583631304232025,U,0.08125791701851774
185,Shepparton,563.6875,214000,0.048598130841121495,0.015534493002352434,U,0.06413262384347393
186,Swan Hill,166.75,185000,0.05621621621621622,0.03131030647754507,U,0.0875265226937613
187,Torquay,74.3125,452500,0.03447513812154696,0.03887329496012337,U,0.07334843308167033
188,Traralgon,290.0,250000,0.04368,0.0156920746137601,U,0.059372074613760095
189,Warragul,117.8125,250000,0.04784,0.029186008964760646,U,0.07702600896476064
190,Warrnambool,491.1875,258500,0.046266924564796905,0.024409353161412684,U,0.07067627772620959
191,Wodonga,538.3125,198000,0.05515151515151515,0.02531772001056165,U,0.0804692351620768
0,Albert Park,83.75,1503000,0.027262807717897537,0.06467565993383495,H,0.09193846765173248
1,Middle Park,83.75,2125000,0.019282823529411765,0.07602507436696238,H,0.09530789789637414
2,Armadale,76.875,1750000,0.023771428571428572,0.04373469515222683,H,0.0675061237236554
3,Carlton North,125.625,1095000,0.03181735159817352,0.07074504583297014,H,0.10256239743114366
4,Carlton,57.1875,1020000,0.03670588235294118,0.05023217441502825,H,0.08693805676796942
5,Parkville,57.1875,1525000,0.024550819672131147,0.013052228652509434,H,0.03760304832464058
6,Collingwood,80.625,775000,0.04361290322580645,0.055810426278183334,H,0.09942332950398979
7,Abbotsford,80.625,862500,0.03918840579710145,0.04678854833846202,H,0.08597695413556347
8,Elwood,121.875,1412500,0.029267256637168143,0.05715167437229596,H,0.0864189310094641
9,Fitzroy,90.0,1130000,0.03382300884955752,0.05966858673272002,H,0.09349159558227754
10,Fitzroy North,133.125,1014000,0.03435897435897436,0.0641086873663097,H,0.09846766172528407
11,Clifton Hill,133.125,965000,0.03610362694300518,0.06059538658538166,H,0.09669901352838683
12,Flemington,142.5,730000,0.03775342465753425,0.05589267625451999,H,0.09364610091205425
13,Kensington,142.5,730000,0.03775342465753425,0.05568687463748767,H,0.09344029929502193
14,North Melbourne,62.8125,832000,0.03875,0.07928265886621255,H,0.11803265886621256
15,West Melbourne,62.8125,916000,0.03519650655021834,0.03597070978445438,H,0.07116721633467271
16,Port Melbourne,251.25,917500,0.04392370572207085,0.04989193337168629,H,0.09381563909375715
17,Prahran,131.25,1175000,0.029651063829787234,0.0555986040389036,H,0.08524966786869083
18,Windsor,131.25,956500,0.03642446419236801,0.05618617534756676,H,0.09261063953993476
19,Richmond,277.5,961000,0.03722788761706556,0.0562597006285559,H,0.09348758824562145
20,Burnley,277.5,1100000,0.032523636363636366,0.04980389777709604,H,0.0823275341407324
21,South Melbourne,125.625,1200000,0.0325,0.03964726033445576,H,0.07214726033445576
22,South Yarra,217.5,1450000,0.028689655172413793,0.03175383012035837,H,0.060443485292772166
23,St Kilda,97.5,1225000,0.027591836734693877,0.06848050690430574,H,0.09607234363899961
24,Toorak,78.75,3391000,0.014184606310822766,0.04872514135137562,H,0.0629097476621984
25,Balwyn,393.75,1782500,0.014586255259467041,0.06458701729941563,H,0.07917327255888267
26,Blackburn,483.75,936000,0.021944444444444444,0.06378416486038141,H,0.08572860930482586
27,Box Hill,592.5,1067000,0.020322399250234303,0.06955439130174046,H,0.08987679055197476
28,Bulleen,260.625,861000,0.025365853658536587,0.055653206321450766,H,0.08101905997998735
29,Templestowe,260.625,951500,0.02295323173935891,0.0578370703131712,H,0.08079030205253011
30,Doncaster,260.625,999000,0.021861861861861863,0.06150284676067619,H,0.08336470862253806
