,suburb,median_rent,Count
479,Rockbank,331.5,
480,Rosanna,402.5,
481,Rosebud,325.0,
482,Rosebud Plaza,325.0,
485,Rye,325.0,
486,Rythdale,310.0,
487,Safety Beach,325.0,
488,Saint Helena,375.0,
489,Sandhurst,327.5,
490,Sandown Village,380.0,
491,Sandringham,462.5,
492,Sassafras,365.0,
493,Sassafras Gully,365.0,
495,Seabrook,354.0,
497,Seaholme,354.0,
499,Seddon West,402.5,
500,Selby,335.0,
501,Seville,335.0,
502,Seville East,335.0,
503,Sherbrooke,360.0,
504,Shoreham,325.0,
505,Silvan,360.0,
506,Skye,327.5,
507,Smiths Gully,375.0,
508,Somers,325.0,
509,Somerton,345.75,
510,Somerville,325.0,
511,Sorrento,325.0,
512,South Kingsville,395.0,
514,South Morang,360.0,
517,Southland Centre,421.25,
520,Springvale South,372.5,
522,St Andrews Beach,325.0,
523,St Helena,400.0,
525,St Kilda East,480.0,
526,St Kilda West,490.0,
527,Steels Creek,372.5,
528,Strathewen,370.0,
529,Strathmore,401.25,
530,Strathmore Heights,401.25,
533,Sunshine North,369.0,
534,Sunshine West,369.0,
536,Surrey Hills North,440.0,
537,Surrey Hills South,430.0,
539,Syndal,425.0,
540,Tarneit,330.0,
541,Tarrawarra,372.5,
542,Taylors Hill,343.0,
543,Taylors Lakes,343.0,
544,Tecoma,335.0,
546,Templestowe Lower,402.5,
547,The Basin,365.0,
548,The Patch,360.0,
549,The Pines,417.5,
552,Three Bridges,335.0,
553,Tonimbuk,310.0,
554,Tooradin,320.0,
556,Tootgarook,325.0,
557,Tottenham,378.0,
558,Travancore,401.25,
559,Tremont,365.0,
560,Truganina,330.0,
561,Tuerong,325.0,
563,Tyabb,325.0,
564,Tynong,310.0,
565,Tynong North,310.0,
566,University Of Melbourne,520.0,
567,Upper Ferntree Gully,360.0,
568,Upwey,365.0,
570,Vermont South,400.0,
571,Vervale,310.0,
572,Viewbank,402.5,
573,Wandin East,335.0,
574,Wandin North,335.0,
576,Wantirna South,400.0,
577,Warburton,365.0,
578,Warneet,320.0,
579,Warrandyte,390.0,
580,Warrandyte South,392.5,
581,Warranwood,392.5,
582,Watergardens,343.0,
583,Waterways,372.5,
584,Watsonia,400.0,
585,Watsonia North,400.0,
586,Watsons Creek,390.0,
587,Wattle Glen,375.0,
588,Wattle Park,430.0,
589,Waverley Gardens,370.0,
591,Werribee South,330.0,
592,Wesburn,365.0,
595,Westmeadows,346.5,
596,Wheelers Hill,420.0,
597,Wildwood,335.0,
598,Williams Landing,330.0,
600,Williamstown North,378.0,
602,Wishart,460.0,
603,Wollert,345.75,
604,Wonga Park,377.5,
605,Woodstock,345.0,
606,Woori Yallock,335.0,
607,World Trade Centre,520.0,
608,Wyndham Vale,325.0,
609,Yallambie,402.5,
610,Yan Yean,360.0,
611,Yarra Glen,372.5,
612,Yarra Junction,335.0,
613,Yarrambat,360.0,
615,Yarraville West,395.0,
616,Yellingbo,335.0,
617,Yering,367.5,
618,Yuroke,346.5,
0,Albert Park,500.0,69.66666666666667
0,Middle Park,500.0,69.66666666666667
0,West St Kilda,500.0,69.66666666666667
1,Armadale,485.0,334.0
2,Carlton North,490.0,100.0
3,Carlton,550.0,692.5
3,Parkville,550.0,692.5
4,CBD,600.0,2423.0
4,St Kilda Rd,600.0,2423.0
5,Collingwood,550.0,383.5
5,Abbotsford,550.0,383.5
6,Docklands,650.0,1168.0
7,East Melbourne,585.0,207.0
8,East St Kilda,440.0,843.0
9,Elwood,465.0,868.0
10,Fitzroy,603.0,194.0
11,Fitzroy North,520.0,138.5
11,Clifton Hill,520.0,138.5
12,Flemington,425.0,306.5
12,Kensington,425.0,306.5
13,North Melbourne,530.0,452.5
13,West Melbourne,530.0,452.5
14,Port Melbourne,600.0,454.0
15,Prahran,500.0,368.0
15,Windsor,500.0,368.0
16,Richmond,550.0,470.0
16,Burnley,550.0,470.0
17,South Melbourne,560.0,444.0
18,South Yarra,560.0,1466.0
19,Southbank,590.0,1776.0
20,St Kilda,500.0,1208.0
21,Toorak,500.0,309.0
22,Balwyn,435.0,288.0
23,Blackburn,410.0,223.0
24,Box Hill,450.0,1046.0
25,Bulleen,450.0,197.33333333333334
25,Templestowe,450.0,197.33333333333334
25,Doncaster,450.0,197.33333333333334
26,Burwood,450.0,127.5
26,Ashburton,450.0,127.5
27,Camberwell,450.0,365.5
27,Glen Iris,450.0,365.5
28,Canterbury,440.0,101.33333333333333
28,Surrey Hills,440.0,101.33333333333333
28,Mont Albert,440.0,101.33333333333333
29,Chadstone,420.0,168.0
29,Oakleigh,420.0,168.0
30,Clayton,395.0,714.0
31,Doncaster East,430.0,114.0
31,Donvale,430.0,114.0
32,East Hawthorn,460.0,464.0
33,Glen Waverley,430.0,89.5
33,Mulgrave,430.0,89.5
34,Hawthorn,460.0,825.0
35,Kew,450.0,500.0
36,Mount Waverley,420.0,151.0
37,Nunawading,395.0,148.5
37,Mitcham,395.0,148.5
38,Vermont,390.0,47.0
38,Forest Hill,390.0,47.0
38,Burwood East,390.0,47.0
39,Aspendale,380.0,173.33333333333334
39,Chelsea,380.0,173.33333333333334
39,Carrum,380.0,173.33333333333334
40,Bentleigh,450.0,902.0
41,Brighton,550.0,393.0
42,Brighton East,460.0,65.0
43,Carnegie,453.0,678.0
44,Caulfield,460.0,924.0
45,Cheltenham,420.0,805.0
46,Elsternwick,470.0,287.0
47,Hampton,490.0,189.0
47,Beaumaris,490.0,189.0
48,Malvern,480.0,191.0
49,Malvern East,480.0,474.0
50,Mentone,400.0,203.33333333333334
50,Parkdale,400.0,203.33333333333334
50,Mordialloc,400.0,203.33333333333334
51,Murrumbeena,440.0,181.5
51,Hughesdale,440.0,181.5
52,Altona,350.0,637.0
53,Footscray,388.0,494.0
54,Keilor East,410.0,229.0
54,Avondale Heights,410.0,229.0
56,Newport,378.0,84.0
56,Spotswood,378.0,84.0
57,St Albans,320.0,161.0
57,Deer Park,320.0,161.0
58,Sunshine,330.0,303.0
59,Sydenham,360.0,141.0
60,Werribee,310.0,278.5
60,Hoppers Crossing,310.0,278.5
61,West Footscray,365.0,396.0
62,Williamstown,405.0,163.0
63,Yarraville,390.0,170.0
63,Seddon,390.0,170.0
64,Broadmeadows,350.0,117.5
64,Roxburgh Park,350.0,117.5
65,Brunswick,465.0,727.0
66,Coburg,410.0,221.5
66,Pascoe Vale South,410.0,221.5
67,Craigieburn,335.0,116.0
68,East Brunswick,490.0,540.0
69,Essendon,395.0,866.0
70,Gladstone Park,343.0,64.0
70,Tullamarine,343.0,64.0
