,suburb,median_rent,Count
6,Elwood,850.0,65.0
7,Fitzroy,900.0,48.0
8,Fitzroy North,778.0,71.0
8,Clifton Hill,778.0,71.0
9,Flemington,640.0,76.0
9,Kensington,640.0,76.0
10,North Melbourne,750.0,33.5
10,West Melbourne,750.0,33.5
11,Port Melbourne,850.0,134.0
12,Prahran,800.0,70.0
12,Windsor,800.0,70.0
13,Richmond,775.0,148.0
13,Burnley,775.0,148.0
14,South Melbourne,850.0,67.0
15,South Yarra,890.0,116.0
16,St Kilda,725.0,52.0
17,Toorak,998.0,42.0
18,Group Total,795.0,1792.0
19,Balwyn,550.0,210.0
20,Blackburn,450.0,258.0
21,Box Hill,480.0,316.0
22,Bulleen,460.0,139.0
22,Templestowe,460.0,139.0
22,Doncaster,460.0,139.0
23,Burwood,500.0,125.0
23,Ashburton,500.0,125.0
24,Camberwell,650.0,122.5
24,Glen Iris,650.0,122.5
25,Canterbury,650.0,33.666666666666664
25,Surrey Hills,650.0,33.666666666666664
25,Mont Albert,650.0,33.666666666666664
26,Chadstone,465.0,115.5
26,Oakleigh,465.0,115.5
27,Clayton,450.0,222.0
28,Doncaster East,460.0,128.5
28,Donvale,460.0,128.5
29,East Hawthorn,693.0,76.0
30,Glen Waverley,460.0,343.0
30,Mulgrave,460.0,343.0
31,Hawthorn,750.0,81.0
32,Kew,660.0,148.0
33,Mount Waverley,480.0,277.0
34,Nunawading,440.0,117.0
34,Mitcham,440.0,117.0
35,Vermont,450.0,134.33333333333334
35,Forest Hill,450.0,134.33333333333334
35,Burwood East,450.0,134.33333333333334
36,Aspendale,465.0,109.66666666666667
36,Chelsea,465.0,109.66666666666667
36,Carrum,465.0,109.66666666666667
37,Bentleigh,550.0,471.0
38,Brighton,900.0,124.0
39,Brighton East,670.0,111.0
40,Carnegie,600.0,64.0
41,Caulfield,675.0,186.0
42,Cheltenham,530.0,449.0
43,Elsternwick,780.0,45.0
44,Hampton,750.0,113.5
44,Beaumaris,750.0,113.5
45,Malvern,850.0,57.0
46,Malvern East,620.0,156.0
47,Mentone,560.0,63.0
47,Parkdale,560.0,63.0
47,Mordialloc,560.0,63.0
48,Murrumbeena,520.0,40.5
48,Hughesdale,520.0,40.5
49,Group Total,580.0,2489.0
50,Altona,390.0,1447.0
51,Footscray,510.0,139.0
52,Keilor East,435.0,192.0
52,Avondale Heights,435.0,192.0
54,Newport,530.0,114.5
54,Spotswood,530.0,114.5
55,St Albans,360.0,445.0
55,Deer Park,360.0,445.0
56,Sunshine,360.0,587.0
57,Sydenham,390.0,928.0
58,Werribee,355.0,1324.5
58,Hoppers Crossing,355.0,1324.5
59,West Footscray,440.0,332.0
60,Williamstown,650.0,138.0
61,Yarraville,550.0,158.0
61,Seddon,550.0,158.0
62,Group Total,370.0,9092.0
63,Broadmeadows,370.0,350.5
63,Roxburgh Park,370.0,350.5
64,Brunswick,680.0,213.0
65,Coburg,543.0,185.0
65,Pascoe Vale South,543.0,185.0
66,Craigieburn,380.0,847.0
67,East Brunswick,700.0,89.0
68,Essendon,470.0,355.0
69,Gladstone Park,390.0,118.5
69,Tullamarine,390.0,118.5
70,Keilor,420.0,17.0
71,Moonee Ponds,595.0,123.5
71,Ascot Vale,595.0,123.5
72,Oak Park,410.0,165.66666666666666
72,Glenroy,410.0,165.66666666666666
72,Fawkner,410.0,165.66666666666666
73,Pascoe Vale,480.0,106.0
73,Coburg North,480.0,106.0
74,Sunbury,365.0,396.0
75,West Brunswick,600.0,87.0
76,Group Total,400.0,4268.0
77,Bundoora,410.0,341.0
77,Greensborough,410.0,341.0
77,Hurstbridge,410.0,341.0
78,Eltham,465.0,69.33333333333333
78,Research,465.0,69.33333333333333
78,Montmorency,465.0,69.33333333333333
79,Fairfield,650.0,52.5
79,Alphington,650.0,52.5
80,Heidelberg,450.0,163.0
80,Heidelberg West,450.0,163.0
81,Ivanhoe,578.0,55.0
81,Ivanhoe East,578.0,55.0
82,Mill Park,380.0,415.0
82,Epping,380.0,415.0
83,Northcote,688.0,216.0
84,Preston,495.0,310.0
85,Reservoir,410.0,454.0
86,Thomastown,370.0,229.5
86,Lalor,370.0,229.5
87,Thornbury,620.0,160.0
88,Whittlesea,370.0,378.0
89,Bayswater,400.0,221.0
90,Boronia,400.0,237.0
91,Croydon,420.0,473.5
91,Lilydale,420.0,473.5
92,Ferntree Gully,400.0,275.0
93,Ringwood,420.0,377.0
94,Rowville,430.0,225.0
95,Wantirna,420.0,229.5
95,Scoresby,420.0,229.5
96,Yarra Ranges,400.0,404.0
97,Berwick,375.0,790.0
98,Cranbourne,370.0,1472.0
99,Dandenong,390.0,429.0
100,Dandenong North,360.0,328.5
100,Endeavour Hills,360.0,328.5
101,Narre Warren,370.0,610.5
101,Hampton Park,370.0,610.5
102,Noble Park,380.0,336.0
103,Pakenham,350.0,1027.0
104,Springvale,400.0,562.0
105,Dromana,380.0,434.5
105,Portsea,380.0,434.5
106,Frankston,390.0,891.0
107,Hastings,395.0,162.5
107,Flinders,395.0,162.5
108,Mt Eliza,490.0,140.0
108,Mornington,490.0,140.0
108,Mt Martha,490.0,140.0
109,Seaford,370.0,422.5
109,Carrum Downs,370.0,422.5
110,Belmont,385.0,336.5
110,Grovedale,385.0,336.5
111,Corio,290.0,508.0
112,Geelong,350.0,223.0
112,Newcombe,350.0,223.0
113,Herne Hill,388.0,130.0
113,Geelong West,388.0,130.0
114,Lara,380.0,165.0
115,Newtown,410.0,116.0
116,North Geelong,350.0,376.0
117,Ballarat,320.0,765.0
118,Mount Clear,330.0,44.5
118,Buninyong,330.0,44.5
119,Sebastopol,300.0,163.5
119,Delacombe,300.0,163.5
120,Wendouree,320.0,275.0
120,Alfredton,320.0,275.0
121,Bendigo,318.0,218.0
122,Flora Hill,320.0,186.0
122,Bendigo East,320.0,186.0
123,Golden Square,310.0,170.5
123,Kangaroo Flat,310.0,170.5
124,North Bendigo,300.0,402.0
125,Bairnsdale,320.0,198.0
126,Benalla,300.0,163.0
127,Castlemaine,350.0,99.0
128,Echuca,340.0,198.0
129,Hamilton,270.0,148.0
130,Horsham,288.0,314.0
131,Mildura,320.0,581.0
132,Moe,270.0,104.0
132,Newborough,270.0,104.0
133,Morwell,240.0,279.0
134,Ocean Grove,420.0,94.0
134,Barwon Heads,420.0,94.0
135,Portland,270.0,140.0
136,Sale,280.0,191.0
136,Maffra,280.0,191.0
137,Seymour,300.0,84.0
138,Shepparton,300.0,676.0
139,Swan Hill,300.0,151.0
140,Torquay,480.0,215.0
141,Traralgon,300.0,416.0
142,Wanagaratta,310.0,270.0
143,Warragul,333.0,196.0
144,Warrnambool,350.0,419.0
145,Wodonga,330.0,544.0
