,LGA,suburb
610,Melton,Diggers Rest
611,Brimbank,Bulla
612,Hume,Bulla
613,Cardinia,Beenak
614,Cardinia,Don Valley
615,Cardinia,Hoddles Creek
616,Cardinia,Launching Place
617,Cardinia,Seville
618,Cardinia,Seville East
619,Cardinia,Wandin East
620,Cardinia,Wandin North
621,Cardinia,Woori Yallock
622,Cardinia,Yellingbo
623,Yarra Ranges,Beenak
624,Yarra Ranges,Don Valley
625,Yarra Ranges,Hoddles Creek
626,Yarra Ranges,Launching Place
627,Yarra Ranges,Seville
628,Yarra Ranges,Seville East
629,Yarra Ranges,Wandin East
630,Yarra Ranges,Wandin North
631,Yarra Ranges,Woori Yallock
632,Yarra Ranges,Yellingbo
633,Cardinia,Menzies Creek
634,Cardinia,Selby
635,Yarra Ranges,Menzies Creek
636,Yarra Ranges,Selby
637,Cardinia,Belgrave
638,Cardinia,Belgrave Heights
639,Cardinia,Belgrave South
640,Cardinia,Tecoma
641,Yarra Ranges,Belgrave
642,Yarra Ranges,Belgrave Heights
643,Yarra Ranges,Belgrave South
644,Yarra Ranges,Tecoma
645,Cardinia,Cockatoo
646,Cardinia,Mount Burnett
647,Cardinia,Nangana
648,Yarra Ranges,Cockatoo
649,Yarra Ranges,Mount Burnett
650,Yarra Ranges,Nangana
651,Cardinia,Avonsleigh
652,Cardinia,Clematis
653,Cardinia,Emerald
654,Cardinia,Macclesfield
655,Yarra Ranges,Avonsleigh
656,Yarra Ranges,Clematis
657,Yarra Ranges,Emerald
658,Yarra Ranges,Macclesfield
659,Cardinia,Kallista
660,Yarra Ranges,Kallista
661,Cardinia,Narre Warren East
662,Cardinia,Narre Warren North
663,Casey,Narre Warren East
664,Casey,Narre Warren North
665,Knox,Narre Warren East
666,Knox,Narre Warren North
667,Yarra Ranges,Narre Warren East
668,Yarra Ranges,Narre Warren North
669,Cardinia,Berwick
670,Cardinia,Harkaway
671,Casey,Berwick
672,Casey,Harkaway
673,Yarra Ranges,Berwick
674,Yarra Ranges,Harkaway
675,Cardinia,Beaconsfield
676,Cardinia,Guys Hill
677,Casey,Beaconsfield
678,Casey,Guys Hill
679,Cardinia,Beaconsfield Upper
680,Cardinia,Dewhurst
681,Casey,Beaconsfield Upper
682,Casey,Dewhurst
683,Yarra Ranges,Beaconsfield Upper
684,Yarra Ranges,Dewhurst
685,Cardinia,Officer
686,Cardinia,Officer South
687,Casey,Officer
688,Casey,Officer South
689,Cardinia,Pakenham
690,Cardinia,Pakenham South
691,Cardinia,Pakenham Upper
692,Cardinia,Rythdale
693,Cardinia,Maryknoll
694,Cardinia,Nar Nar Goon
695,Cardinia,Nar Nar Goon North
696,Cardinia,Tynong
697,Cardinia,Tynong North
698,Cardinia,Cora Lynn
699,Cardinia,Garfield
700,Cardinia,Garfield North
701,Cardinia,Vervale
702,Cardinia,Cannons Creek
703,Cardinia,Cranbourne
704,Cardinia,Cranbourne East
705,Cardinia,Cranbourne North
706,Cardinia,Cranbourne South
707,Cardinia,Cranbourne West
708,Cardinia,Devon Meadows
709,Cardinia,Junction Village
710,Cardinia,Sandhurst
711,Cardinia,Skye
712,Casey,Cannons Creek
713,Casey,Cranbourne
714,Casey,Cranbourne East
715,Casey,Cranbourne North
716,Casey,Cranbourne South
717,Casey,Cranbourne West
718,Casey,Devon Meadows
719,Casey,Junction Village
720,Casey,Sandhurst
721,Casey,Skye
722,Frankston,Cannons Creek
723,Frankston,Cranbourne
724,Frankston,Cranbourne East
725,Frankston,Cranbourne North
726,Frankston,Cranbourne South
727,Frankston,Cranbourne West
728,Frankston,Devon Meadows
729,Frankston,Junction Village
730,Frankston,Sandhurst
731,Frankston,Skye
732,Greater Dandenong,Cannons Creek
733,Greater Dandenong,Cranbourne
734,Greater Dandenong,Cranbourne East
735,Greater Dandenong,Cranbourne North
736,Greater Dandenong,Cranbourne South
737,Greater Dandenong,Cranbourne West
738,Greater Dandenong,Devon Meadows
739,Greater Dandenong,Junction Village
740,Greater Dandenong,Sandhurst
741,Greater Dandenong,Skye
742,Cardinia,Cardinia
743,Cardinia,Clyde
744,Cardinia,Clyde North
745,Casey,Cardinia
746,Casey,Clyde
747,Casey,Clyde North
748,Cardinia,Blind Bight
749,Cardinia,Tooradin
750,Cardinia,Warneet
751,Casey,Blind Bight
752,Casey,Tooradin
753,Casey,Warneet
754,Casey,Ferntree Gully
755,Casey,Lysterfield
756,Casey,Lysterfield South
757,Casey,Mountain Gate
758,Casey,Upper Ferntree Gully
759,Knox,Ferntree Gully
760,Knox,Lysterfield
761,Knox,Lysterfield South
762,Knox,Mountain Gate
763,Knox,Upper Ferntree Gully
764,Yarra Ranges,Ferntree Gully
765,Yarra Ranges,Lysterfield
766,Yarra Ranges,Lysterfield South
767,Yarra Ranges,Mountain Gate
768,Yarra Ranges,Upper Ferntree Gully
769,Casey,Bangholme
770,Casey,Dandenong
771,Casey,Dandenong East
772,Casey,Dandenong North
773,Casey,Dandenong South
774,Casey,Dunearn
775,Frankston,Bangholme
776,Frankston,Dandenong
777,Frankston,Dandenong East
778,Frankston,Dandenong North
779,Frankston,Dandenong South
780,Frankston,Dunearn
781,Greater Dandenong,Bangholme
782,Greater Dandenong,Dandenong
783,Greater Dandenong,Dandenong East
784,Greater Dandenong,Dandenong North
785,Greater Dandenong,Dandenong South
786,Greater Dandenong,Dunearn
787,Kingston,Bangholme
788,Kingston,Dandenong
789,Kingston,Dandenong East
790,Kingston,Dandenong North
791,Kingston,Dandenong South
792,Kingston,Dunearn
793,Knox,Bangholme
794,Knox,Dandenong
795,Knox,Dandenong East
796,Knox,Dandenong North
797,Knox,Dandenong South
798,Knox,Dunearn
799,Monash,Bangholme
800,Monash,Dandenong
801,Monash,Dandenong East
802,Monash,Dandenong North
803,Monash,Dandenong South
804,Monash,Dunearn
805,Casey,Doveton
806,Casey,Eumemmerring
807,Greater Dandenong,Doveton
808,Greater Dandenong,Eumemmerring
809,Casey,Rowville
810,Greater Dandenong,Rowville
811,Knox,Rowville
812,Monash,Rowville
813,Casey,Endeavour Hills
814,Greater Dandenong,Endeavour Hills
815,Knox,Endeavour Hills
816,Casey,Hallam
817,Greater Dandenong,Hallam
818,Casey,Fountain Gate
819,Casey,Narre Warren
820,Casey,Narre Warren South
821,Casey,Langwarrin
822,Frankston,Langwarrin
823,Casey,Baxter
824,Casey,Langwarrin South
825,Frankston,Baxter
826,Frankston,Langwarrin South
827,Mornington Peninsula,Baxter
828,Mornington Peninsula,Langwarrin South
829,Casey,Pearcedale
830,Casey,Somerville
831,Frankston,Pearcedale
832,Frankston,Somerville
833,Mornington Peninsula,Pearcedale
834,Mornington Peninsula,Somerville
835,Casey,Lynbrook
836,Casey,Lyndhurst
837,Greater Dandenong,Lynbrook
838,Greater Dandenong,Lyndhurst
839,Casey,Hampton Park
840,Greater Dandenong,Hampton Park
841,Darebin,Brunswick East
842,Moreland,Brunswick East
843,Yarra,Brunswick East
844,Darebin,Batman
845,Darebin,Coburg
